site,date,evi,tag
HARV,2013-01-25,0.3033,training
HARV,2013-02-02,0.3033,training
HARV,2013-03-30,0.2838,training
HARV,2013-04-07,0.3144,training
HARV,2013-04-15,0.3144,training
HARV,2013-04-23,0.279,training
HARV,2013-05-01,0.279,training
HARV,2013-05-09,0.4423,training
HARV,2013-05-17,0.5731,training
HARV,2013-05-25,0.5731,training
HARV,2013-06-02,0.6881,training
HARV,2013-06-10,0.6881,training
HARV,2013-06-18,0.7151000000000001,training
HARV,2013-07-20,0.676,training
HARV,2013-07-28,0.6579,training
HARV,2013-08-05,0.6579,training
HARV,2013-08-13,0.6023000000000001,training
HARV,2013-08-21,0.5306000000000001,training
HARV,2013-08-29,0.5306000000000001,training
HARV,2013-09-06,0.5467000000000001,training
HARV,2013-09-14,0.5467000000000001,training
HARV,2013-09-22,0.5152,training
HARV,2013-09-30,0.49400000000000005,training
HARV,2013-10-08,0.4092,training
HARV,2013-10-16,0.2967,training
HARV,2013-10-24,0.33340000000000003,training
HARV,2013-11-01,0.32230000000000003,training
HARV,2013-11-09,0.32230000000000003,training
HARV,2013-11-17,0.2083,training
HARV,2013-11-25,0.2083,training
HARV,2013-12-27,0.2559,training
HARV,2014-01-01,0.2058,training
HARV,2014-01-09,0.2058,training
HARV,2014-03-22,0.2565,training
HARV,2014-03-30,0.2617,training
HARV,2014-04-07,0.2791,training
HARV,2014-04-15,0.2791,training
HARV,2014-04-23,0.3,training
HARV,2014-05-01,0.3352,training
HARV,2014-05-09,0.41340000000000005,training
HARV,2014-05-17,0.41340000000000005,training
HARV,2014-05-25,0.6551,training
HARV,2014-06-02,0.6551,training
HARV,2014-06-10,0.7142000000000001,training
HARV,2014-06-18,0.7142000000000001,training
HARV,2014-06-26,0.674,training
HARV,2014-07-04,0.674,training
HARV,2014-07-28,0.6474000000000001,training
HARV,2014-08-05,0.5966,training
HARV,2014-08-13,0.5966,training
HARV,2014-08-21,0.7042,training
HARV,2014-08-29,0.6034,training
HARV,2014-09-06,0.6034,training
HARV,2014-09-14,0.5551,training
HARV,2014-09-22,0.5551,training
HARV,2014-09-30,0.5401,training
HARV,2014-10-08,0.5274,training
HARV,2014-10-24,0.2959,training
HARV,2014-11-01,0.2959,training
HARV,2014-11-09,0.303,training
HARV,2014-11-17,0.303,training
HARV,2014-12-11,0.3467,training
HARV,2014-12-19,0.3467,training
HARV,2014-12-27,0.3428,training
HARV,2015-03-30,0.27890000000000004,training
HARV,2015-04-07,0.3809,training
HARV,2015-04-15,0.3809,training
HARV,2015-04-23,0.2788,training
HARV,2015-05-01,0.5127,training
HARV,2015-05-09,0.5127,training
HARV,2015-05-17,0.6125,training
HARV,2015-06-02,0.7332000000000001,training
HARV,2015-06-10,0.7332000000000001,training
HARV,2015-06-18,0.6052000000000001,training
HARV,2015-06-26,0.6052000000000001,training
HARV,2015-07-20,0.6933,training
HARV,2015-07-28,0.6933,training
HARV,2015-08-05,0.643,training
HARV,2015-08-13,0.643,training
HARV,2015-08-21,0.5908,training
HARV,2015-08-29,0.5908,training
HARV,2015-09-06,0.5961000000000001,training
HARV,2015-09-14,0.5961000000000001,training
HARV,2015-09-22,0.5086,training
HARV,2015-09-30,0.5086,training
HARV,2015-10-08,0.5219,training
HARV,2015-10-16,0.4334,training
HARV,2015-10-24,0.4334,training
HARV,2015-11-01,0.2938,training
HARV,2015-11-09,0.3119,training
HARV,2015-11-17,0.2596,training
HARV,2015-11-25,0.2596,training
HARV,2015-12-03,0.2536,training
HARV,2015-12-11,0.2426,training
HARV,2015-12-19,0.2426,training
HARV,2016-01-17,0.2556,training
HARV,2016-01-25,0.28240000000000004,training
HARV,2016-02-02,0.28240000000000004,training
HARV,2016-02-18,0.29510000000000003,training
HARV,2016-02-26,0.2682,training
HARV,2016-03-05,0.2682,training
HARV,2016-03-13,0.2796,training
HARV,2016-03-21,0.27190000000000003,training
HARV,2016-03-29,0.31670000000000004,training
HARV,2016-04-06,0.3095,training
HARV,2016-04-14,0.3095,training
HARV,2016-04-22,0.2559,training
HARV,2016-04-30,0.3265,training
HARV,2016-05-08,0.3265,training
HARV,2016-05-16,0.6746,training
HARV,2016-05-24,0.6746,training
HARV,2016-06-01,0.6458,training
HARV,2016-06-09,0.7665000000000001,training
HARV,2016-06-17,0.7665000000000001,training
HARV,2016-06-25,0.7185,training
HARV,2016-07-03,0.7185,training
HARV,2016-07-11,0.6938000000000001,training
HARV,2016-07-19,0.6938000000000001,training
HARV,2016-07-27,0.7179,training
HARV,2016-08-04,0.7179,training
HARV,2016-08-12,0.7070000000000001,training
HARV,2016-08-20,0.6148,training
HARV,2016-08-28,0.5825,training
HARV,2016-09-05,0.5825,training
HARV,2016-09-13,0.644,training
HARV,2016-09-21,0.5699000000000001,training
HARV,2016-09-29,0.5895,training
HARV,2016-10-07,0.5895,training
HARV,2016-10-15,0.3942,training
HARV,2016-10-23,0.3942,training
HARV,2016-10-31,0.36870000000000003,training
HARV,2016-11-08,0.36870000000000003,training
HARV,2016-11-16,0.30310000000000004,training
HARV,2016-11-24,0.3321,training
HARV,2016-12-02,0.2758,training
HARV,2016-12-10,0.2758,training
HARV,2017-01-01,0.2679,training
HARV,2017-01-09,0.2679,training
HARV,2017-02-18,0.31170000000000003,training
HARV,2017-02-26,0.31170000000000003,training
HARV,2017-03-06,0.25,training
HARV,2017-03-30,0.2646,training
HARV,2017-04-07,0.2901,training
HARV,2017-04-15,0.2901,training
HARV,2017-04-23,0.255,training
HARV,2017-05-01,0.32070000000000004,training
HARV,2017-05-09,0.5061,training
HARV,2017-05-17,0.5061,training
HARV,2017-06-02,0.7050000000000001,training
HARV,2017-06-10,0.7050000000000001,training
HARV,2017-06-18,0.6563,training
HARV,2017-06-26,0.6563,training
HARV,2017-07-20,0.6233000000000001,training
HARV,2017-07-28,0.6233000000000001,training
HARV,2017-08-05,0.5079,training
HARV,2017-08-13,0.5875,training
HARV,2017-08-21,0.5850000000000001,training
HARV,2017-08-29,0.5850000000000001,training
HARV,2017-09-14,0.5907,training
HARV,2017-09-22,0.5907,training
HARV,2017-09-30,0.4791,training
HARV,2017-10-08,0.38670000000000004,training
HARV,2017-10-16,0.38670000000000004,training
HARV,2017-10-24,0.33580000000000004,training
HARV,2017-11-01,0.2768,training
HARV,2017-11-09,0.2449,training
HARV,2017-11-17,0.25930000000000003,training
HARV,2017-11-25,0.25930000000000003,training
HARV,2018-01-01,0.26430000000000003,training
HARV,2018-01-09,0.26430000000000003,training
HARV,2018-02-18,0.2766,training
HARV,2018-02-26,0.2766,training
HARV,2018-03-22,0.2235,training
HARV,2018-03-30,0.2235,training
HARV,2018-04-07,0.2432,training
HARV,2018-04-15,0.2432,training
HARV,2018-04-23,0.24300000000000002,training
HARV,2018-05-01,0.38220000000000004,training
HARV,2018-05-09,0.38220000000000004,training
HARV,2018-05-17,0.6362,training
HARV,2018-05-25,0.6362,training
HARV,2018-06-02,0.6881,training
HARV,2018-06-10,0.7042,training
HARV,2018-06-18,0.7042,training
HARV,2018-06-26,0.7808,training
HARV,2018-07-04,0.7808,training
HARV,2018-07-12,0.6657000000000001,training
HARV,2018-07-20,0.6657000000000001,training
HARV,2018-07-28,0.7293000000000001,training
HARV,2018-08-05,0.6636000000000001,training
HARV,2018-09-22,0.4964,training
HARV,2018-09-30,0.4964,training
HARV,2018-10-08,0.45940000000000003,training
HARV,2018-10-16,0.45940000000000003,training
HARV,2018-10-24,0.343,training
HARV,2018-11-01,0.26980000000000004,training
HARV,2018-11-09,0.26980000000000004,training
HARV,2018-11-25,0.2662,training
HARV,2018-12-03,0.2662,training
HARV,2018-12-11,0.23800000000000002,training
HARV,2018-12-19,0.23800000000000002,training
HARV,2018-12-27,0.24860000000000002,training
HARV,2019-01-01,0.28090000000000004,training
HARV,2019-01-09,0.28090000000000004,training
HARV,2019-01-25,0.2602,training
HARV,2019-02-02,0.2602,training
HARV,2019-03-06,0.2101,training
HARV,2019-03-14,0.2101,training
HARV,2019-03-22,0.2685,training
HARV,2019-03-30,0.2685,training
HARV,2019-04-07,0.29810000000000003,training
HARV,2019-04-15,0.2817,training
HARV,2019-04-23,0.2817,training
HARV,2019-05-01,0.3128,training
HARV,2019-05-09,0.452,training
HARV,2019-05-17,0.49970000000000003,training
HARV,2019-05-25,0.49970000000000003,training
HARV,2019-06-02,0.6589,training
HARV,2019-06-10,0.6589,training
HARV,2019-06-18,0.7521,training
HARV,2019-06-26,0.7521,training
HARV,2019-07-04,0.6892,training
HARV,2019-07-12,0.6542,training
HARV,2019-07-28,0.6339,training
HARV,2019-08-05,0.5948,training
HARV,2019-08-13,0.5948,training
HARV,2019-08-21,0.6900000000000001,training
HARV,2019-08-29,0.6900000000000001,training
HARV,2019-09-06,0.5538000000000001,training
HARV,2019-09-14,0.5538000000000001,training
HARV,2019-09-22,0.5224,training
HARV,2019-09-30,0.5224,training
HARV,2019-10-08,0.4158,training
HARV,2019-10-16,0.4158,training
HARV,2019-10-24,0.27040000000000003,training
HARV,2019-11-01,0.27040000000000003,training
HARV,2019-11-09,0.2687,training
HARV,2019-11-17,0.2687,training
HARV,2019-11-25,0.23,training
HARV,2020-01-01,0.42550000000000004,training
HARV,2020-01-09,0.42550000000000004,training
HARV,2020-02-26,0.30760000000000004,training
HARV,2020-03-05,0.30760000000000004,training
HARV,2020-03-13,0.234,training
HARV,2020-03-21,0.2697,training
HARV,2020-04-22,0.2884,training
HARV,2020-04-30,0.2884,training
HARV,2020-05-08,0.45120000000000005,training
HARV,2020-05-16,0.5898,training
HARV,2020-05-24,0.6855,training
HARV,2020-06-01,0.6855,training
HARV,2020-06-09,0.7619,training
HARV,2020-06-17,0.7619,training
HARV,2020-07-11,0.6768000000000001,training
HARV,2020-07-19,0.6768000000000001,training
HARV,2020-07-27,0.6008,training
HARV,2020-08-12,0.6501,training
HARV,2020-08-20,0.6501,training
HARV,2020-08-28,0.6036,training
HARV,2020-09-05,0.6459,training
HARV,2020-09-13,0.6459,training
HARV,2020-09-29,0.4762,training
HARV,2020-10-07,0.4762,training
HARV,2020-10-15,0.3972,training
HARV,2020-10-23,0.2524,training
HARV,2020-10-31,0.327,training
HARV,2020-11-08,0.327,training
HARV,2020-11-16,0.2872,training
HARV,2020-11-24,0.2872,training
HARV,2020-12-18,0.2705,training
HARV,2020-12-26,0.2705,training
HARV,2021-02-26,0.1897,validation_temporal
HARV,2021-03-06,0.1897,validation_temporal
HARV,2021-03-14,0.3009,validation_temporal
HARV,2021-03-22,0.2612,validation_temporal
HARV,2021-03-30,0.2612,validation_temporal
HARV,2021-04-07,0.2586,validation_temporal
HARV,2021-04-15,0.3413,validation_temporal
HARV,2021-04-23,0.2883,validation_temporal
HARV,2021-05-01,0.2883,validation_temporal
HARV,2021-05-17,0.6,validation_temporal
HARV,2021-05-25,0.7062,validation_temporal
HARV,2021-06-02,0.7385,validation_temporal
HARV,2021-06-10,0.7385,validation_temporal
HARV,2021-06-18,0.6538,validation_temporal
HARV,2021-08-29,0.6143000000000001,validation_temporal
HARV,2021-09-06,0.5977,validation_temporal
HARV,2021-09-14,0.5977,validation_temporal
HARV,2021-09-22,0.49960000000000004,validation_temporal
HARV,2021-09-30,0.3598,validation_temporal
HARV,2021-10-08,0.3598,validation_temporal
HARV,2021-10-16,0.3976,validation_temporal
HARV,2021-10-24,0.29660000000000003,validation_temporal
HARV,2021-11-01,0.29660000000000003,validation_temporal
HARV,2021-11-09,0.2746,validation_temporal
HARV,2021-11-17,0.21230000000000002,validation_temporal
HARV,2021-12-03,0.2376,validation_temporal
HARV,2021-12-11,0.2376,validation_temporal
HARV,2021-12-27,0.2401,validation_temporal
HARV,2022-01-01,0.2401,validation_temporal
HARV,2022-02-10,0.24400000000000002,validation_temporal
HARV,2022-02-18,0.24400000000000002,validation_temporal
HARV,2022-02-26,0.3003,validation_temporal
HARV,2022-03-06,0.2513,validation_temporal
HARV,2022-03-14,0.2513,validation_temporal
HARV,2022-03-22,0.30870000000000003,validation_temporal
HARV,2022-03-30,0.30870000000000003,validation_temporal
HARV,2022-04-07,0.29450000000000004,validation_temporal
HARV,2022-04-15,0.29450000000000004,validation_temporal
HARV,2022-04-23,0.3111,validation_temporal
HARV,2022-05-01,0.3699,validation_temporal
HARV,2022-05-09,0.5004000000000001,validation_temporal
HARV,2022-05-17,0.6562,validation_temporal
HARV,2022-05-25,0.7404000000000001,validation_temporal
HARV,2022-06-02,0.7404000000000001,validation_temporal
HARV,2022-06-10,0.6976,validation_temporal
HARV,2022-06-18,0.6976,validation_temporal
HARV,2022-06-26,0.7513000000000001,validation_temporal
HARV,2022-07-04,0.7513000000000001,validation_temporal
HARV,2022-07-28,0.6779000000000001,validation_temporal
HARV,2022-08-05,0.6779000000000001,validation_temporal
HARV,2022-08-21,0.6111,validation_temporal
HARV,2022-08-29,0.6111,validation_temporal
HARV,2022-09-06,0.6055,validation_temporal
HARV,2022-09-14,0.5807,validation_temporal
HARV,2022-09-22,0.5807,validation_temporal
HARV,2022-09-30,0.5121,validation_temporal
HARV,2022-10-08,0.5121,validation_temporal
HARV,2022-10-16,0.36360000000000003,validation_temporal
HARV,2022-10-24,0.2884,validation_temporal
HARV,2022-11-01,0.2602,validation_temporal
HARV,2022-11-09,0.2602,validation_temporal
HARV,2022-11-17,0.23340000000000002,validation_temporal
HARV,2022-11-25,0.23340000000000002,validation_temporal
HARV,2022-12-03,0.2442,validation_temporal
HARV,2022-12-19,0.2056,validation_temporal
HARV,2022-12-27,0.2056,validation_temporal
HARV,2023-02-02,0.23370000000000002,validation_temporal
HARV,2023-02-10,0.259,validation_temporal
HARV,2023-02-18,0.259,validation_temporal
HARV,2023-03-14,0.2335,validation_temporal
HARV,2023-03-22,0.2818,validation_temporal
HARV,2023-03-30,0.2964,validation_temporal
HARV,2023-04-07,0.2964,validation_temporal
HARV,2023-04-15,0.2579,validation_temporal
HARV,2023-04-23,0.3064,validation_temporal
HARV,2023-05-01,0.3064,validation_temporal
SJER,2013-01-01,0.3296,training
SJER,2013-01-09,0.33140000000000003,training
SJER,2013-01-17,0.33140000000000003,training
SJER,2013-01-25,0.3669,training
SJER,2013-02-02,0.3548,training
SJER,2013-02-10,0.3854,training
SJER,2013-02-18,0.38620000000000004,training
SJER,2013-02-26,0.38280000000000003,training
SJER,2013-03-06,0.38280000000000003,training
SJER,2013-03-14,0.36760000000000004,training
SJER,2013-03-22,0.36760000000000004,training
SJER,2013-03-30,0.3743,training
SJER,2013-04-07,0.3224,training
SJER,2013-04-15,0.3224,training
SJER,2013-04-23,0.3014,training
SJER,2013-05-01,0.2521,training
SJER,2013-05-09,0.2521,training
SJER,2013-05-17,0.25320000000000004,training
SJER,2013-05-25,0.2464,training
SJER,2013-06-02,0.25220000000000004,training
SJER,2013-06-10,0.25220000000000004,training
SJER,2013-06-18,0.2495,training
SJER,2013-06-26,0.2495,training
SJER,2013-07-04,0.2432,training
SJER,2013-07-12,0.2432,training
SJER,2013-07-20,0.21960000000000002,training
SJER,2013-07-28,0.24430000000000002,training
SJER,2013-08-05,0.23120000000000002,training
SJER,2013-08-13,0.23340000000000002,training
SJER,2013-08-21,0.23650000000000002,training
SJER,2013-08-29,0.23650000000000002,training
SJER,2013-09-06,0.2386,training
SJER,2013-09-14,0.267,training
SJER,2013-09-22,0.267,training
SJER,2013-09-30,0.2596,training
SJER,2013-10-08,0.2596,training
SJER,2013-10-16,0.2531,training
SJER,2013-10-24,0.2531,training
SJER,2013-11-01,0.21300000000000002,training
SJER,2013-11-09,0.23720000000000002,training
SJER,2013-11-17,0.23720000000000002,training
SJER,2013-11-25,0.2451,training
SJER,2013-12-03,0.2792,training
SJER,2013-12-11,0.266,training
SJER,2013-12-19,0.266,training
SJER,2014-01-01,0.2523,training
SJER,2014-01-09,0.2523,training
SJER,2014-01-17,0.25520000000000004,training
SJER,2014-01-25,0.25520000000000004,training
SJER,2014-02-02,0.3129,training
SJER,2014-02-10,0.3129,training
SJER,2014-02-18,0.3453,training
SJER,2014-02-26,0.3608,training
SJER,2014-03-06,0.41550000000000004,training
SJER,2014-03-14,0.41550000000000004,training
SJER,2014-03-22,0.3798,training
SJER,2014-04-07,0.3161,training
SJER,2014-04-15,0.3161,training
SJER,2014-04-23,0.2692,training
SJER,2014-05-01,0.2165,training
SJER,2014-05-09,0.2165,training
SJER,2014-05-17,0.2432,training
SJER,2014-05-25,0.2227,training
SJER,2014-06-02,0.2416,training
SJER,2014-06-10,0.2416,training
SJER,2014-06-18,0.2414,training
SJER,2014-06-26,0.23090000000000002,training
SJER,2014-07-04,0.23090000000000002,training
SJER,2014-07-12,0.21980000000000002,training
SJER,2014-07-20,0.21610000000000001,training
SJER,2014-07-28,0.21610000000000001,training
SJER,2014-08-05,0.24080000000000001,training
SJER,2014-08-13,0.22540000000000002,training
SJER,2014-08-21,0.22540000000000002,training
SJER,2014-08-29,0.21130000000000002,training
SJER,2014-09-06,0.21910000000000002,training
SJER,2014-09-14,0.21910000000000002,training
SJER,2014-09-22,0.21610000000000001,training
SJER,2014-09-30,0.21610000000000001,training
SJER,2014-10-08,0.2091,training
SJER,2014-10-16,0.22870000000000001,training
SJER,2014-10-24,0.22870000000000001,training
SJER,2014-11-01,0.271,training
SJER,2014-11-09,0.271,training
SJER,2014-11-17,0.2837,training
SJER,2014-11-25,0.3672,training
SJER,2014-12-03,0.3672,training
SJER,2014-12-19,0.49660000000000004,training
SJER,2014-12-27,0.49660000000000004,training
SJER,2015-01-01,0.5227,training
SJER,2015-01-17,0.5067,training
SJER,2015-01-25,0.5478000000000001,training
SJER,2015-02-02,0.5755,training
SJER,2015-02-10,0.5755,training
SJER,2015-02-18,0.5235000000000001,training
SJER,2015-02-26,0.556,training
SJER,2015-03-06,0.556,training
SJER,2015-03-14,0.37070000000000003,training
SJER,2015-03-22,0.37070000000000003,training
SJER,2015-03-30,0.3356,training
SJER,2015-04-07,0.3108,training
SJER,2015-04-15,0.2962,training
SJER,2015-04-23,0.2962,training
SJER,2015-05-01,0.25630000000000003,training
SJER,2015-05-09,0.25630000000000003,training
SJER,2015-05-17,0.24000000000000002,training
SJER,2015-05-25,0.24000000000000002,training
SJER,2015-06-02,0.2159,training
SJER,2015-06-10,0.2159,training
SJER,2015-06-18,0.2212,training
SJER,2015-06-26,0.2212,training
SJER,2015-07-04,0.2258,training
SJER,2015-07-12,0.2506,training
SJER,2015-07-20,0.2506,training
SJER,2015-07-28,0.21530000000000002,training
SJER,2015-08-05,0.2101,training
SJER,2015-08-13,0.2101,training
SJER,2015-08-21,0.2222,training
SJER,2015-08-29,0.20520000000000002,training
SJER,2015-09-06,0.21150000000000002,training
SJER,2015-09-14,0.21150000000000002,training
SJER,2015-09-22,0.22010000000000002,training
SJER,2015-09-30,0.20620000000000002,training
SJER,2015-10-08,0.21610000000000001,training
SJER,2015-10-16,0.21610000000000001,training
SJER,2015-10-24,0.22060000000000002,training
SJER,2015-11-01,0.22060000000000002,training
SJER,2015-11-09,0.2954,training
SJER,2015-11-17,0.3776,training
SJER,2015-11-25,0.37610000000000005,training
SJER,2015-12-03,0.37610000000000005,training
SJER,2015-12-11,0.43170000000000003,training
SJER,2015-12-19,0.42660000000000003,training
SJER,2015-12-27,0.42660000000000003,training
SJER,2016-01-17,0.46230000000000004,training
SJER,2016-01-25,0.46230000000000004,training
SJER,2016-02-02,0.40080000000000005,training
SJER,2016-02-10,0.40080000000000005,training
SJER,2016-02-18,0.41200000000000003,training
SJER,2016-02-26,0.3839,training
SJER,2016-03-21,0.4131,training
SJER,2016-03-29,0.4131,training
SJER,2016-04-06,0.4038,training
SJER,2016-04-14,0.4038,training
SJER,2016-04-22,0.32930000000000004,training
SJER,2016-04-30,0.32930000000000004,training
SJER,2016-05-08,0.2579,training
SJER,2016-05-16,0.2369,training
SJER,2016-05-24,0.2223,training
SJER,2016-06-01,0.2373,training
SJER,2016-06-09,0.2373,training
SJER,2016-06-17,0.2278,training
