site,id,date,observer,phenophase,phenophase_code,status,status_code,intensity,intensity_code,tag
HARV,NEON.PLA.D01.HARV.06046,10/25/2013,-36,full_leaf,3,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06046,10/25/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06041,10/11/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06029,10/11/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06029,10/25/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06055,10/18/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06016,11/6/2013,-36,full_leaf,3,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06016,10/25/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06016,11/6/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06034,10/31/2013,-36,full_leaf,3,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06034,10/25/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06025,11/6/2013,-36,full_leaf,3,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06025,10/18/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06025,10/31/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06025,11/6/2013,-36,colored_leaf,4,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/12/2014,-36,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/14/2014,-99,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/6/2015,-20,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,4/27/2016,-16,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/2/2016,-16,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/4/2016,-33,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/6/2016,-45,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/11/2016,-38,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/7/2018,-70,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/10/2018,-70,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/13/2019,-85,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/16/2019,-86,young_leaf,2,yes,1,25-49%,3,training
HARV,NEON.PLA.D01.HARV.06007,5/20/2019,-85,young_leaf,2,yes,1,25-49%,3,training
