site,date,dayl,srad,tmax,tmin,temp,prcp,swe,vp
HARV,2013-01-01,32191.29,181.84,-2.17,-9.95,-7.145,0,75.38,287.1
HARV,2013-01-02,32237.02,233.35,-4.51,-15.51,-12.265,0,75.38,182.84
HARV,2013-01-03,32286.48,263,-6.63,-20.56,-16.91,0,75.38,118.92
HARV,2013-01-04,32339.64,288.55,0.89,-19.89,-9.055,0,75.38,126.06
HARV,2013-01-05,32396.46,219.66,1.57,-8.33,-2.595,0.57,75.95,326.09
HARV,2013-01-06,32456.89,213,1.84,-7.56,-1.94,0,75.95,346.16
HARV,2013-01-07,32520.89,157.4,0,-6.36,-3.18,0,75.95,379.69
HARV,2013-01-08,32588.42,277.61,4.32,-11.48,-1.42,0,75.95,254.07
HARV,2013-01-09,32659.42,257.68,3.83,-8.93,-0.635,0,75.95,311.04
HARV,2013-01-10,32733.85,251.53,4.11,-7.88,0.17,0,75.95,337.69
HARV,2013-01-11,32811.65,147.69,2.1,-6.04,-0.92,4.29,80.24,389.01
HARV,2013-01-12,32892.76,243.32,5.24,-5.75,2.365,0.79,80.14,397.99
HARV,2013-01-13,32977.15,133.82,6.34,1.11,6.895,1.04,77.15,662.03
HARV,2013-01-14,33064.74,180.64,9.23,1.86,10.16,0,73.85,698.38
HARV,2013-01-15,33155.47,92.6,1.66,-2.98,0.17,6.34,72.58,490.21
HARV,2013-01-16,33249.3,71.66,-0.67,-4.14,-2.74,5.65,71.8,449.65
HARV,2013-01-17,33346.16,152.2,1.94,-3.77,0.055,0,70.87,462.1
HARV,2013-01-18,33445.99,231.19,-2.83,-12.08,-8.87,0,70.87,242.09
HARV,2013-01-19,33548.73,308.68,4.79,-12.58,-1.5,0,70.87,232.59
HARV,2013-01-20,33654.31,238.06,4.73,-4.92,2.27,0,70.41,423.89
HARV,2013-01-21,33762.67,144.28,-5,-10.07,-10.035,1.39,71.8,284.29
HARV,2013-01-22,33873.76,133.48,-7.5,-12.1,-13.55,0,71.8,241.65
HARV,2013-01-23,33987.49,146.76,-12.82,-17.81,-21.725,0,71.8,150.64
HARV,2013-01-24,34103.82,280.8,-10.66,-22.03,-21.675,0,71.8,104.53
HARV,2013-01-25,34222.68,310.18,-8.19,-22.09,-19.235,1.6,73.4,104.02
HARV,2013-01-26,34344,266.64,-7.48,-17.59,-16.275,0,73.4,153.46
HARV,2013-01-27,34467.72,289.91,-4.69,-16.25,-12.815,0,73.4,171.87
HARV,2013-01-28,34593.78,216.95,-4.36,-15.75,-12.235,4.42,77.82,179.24
HARV,2013-01-29,34722.11,233.63,2.04,-11.15,-3.535,3.72,81.55,260.93
HARV,2013-01-30,34852.65,256.17,13.42,-5.37,10.735,18.1,81.28,409.52
HARV,2013-01-31,34985.33,220.36,12.21,0.1,12.26,9.81,78.72,615.31
HARV,2013-02-01,35120.1,104.94,-3.39,-6.55,-6.665,0,78.72,374.21
HARV,2013-02-02,35256.89,281.27,-3.34,-12.98,-9.83,0,78.72,225.08
HARV,2013-02-03,35395.64,286.86,-3.54,-13,-10.04,0,78.72,224.73
HARV,2013-02-04,35536.29,224.61,-4.73,-11.37,-10.415,0,78.72,256.43
HARV,2013-02-05,35678.78,269.39,-2.55,-10.83,-7.965,0.36,79.08,267.59
HARV,2013-02-06,35823.05,279.3,-0.21,-8.92,-4.67,0,79.08,311.42
HARV,2013-02-07,35969.04,318.48,-3.41,-13.68,-10.25,0,79.08,212.63
HARV,2013-02-08,36116.7,226.7,-4.86,-13.75,-11.735,30.73,109.81,211.43
